Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XRP,2019-12-02,0.2235872622,0.225839909,0.226242201,0.218969616
XRP,2019-12-03,0.2210769664,0.2235866226,0.2266039939,0.2175008047
XRP,2019-12-04,0.2204360595,0.2194160602,0.2220083814,0.2180110802
XRP,2019-12-05,0.2152372293,0.2204375902,0.2254734853,0.2098573372
XRP,2019-12-06,0.221949858,0.2152741359,0.2264355803,0.2122173584
XRP,2019-12-07,0.2262941639,0.2215266818,0.2271652403,0.2193898178
XRP,2019-12-08,0.2279258635,0.2262962495,0.228520533,0.2236070329
XRP,2019-12-09,0.2311692659,0.2279262165,0.2326902185,0.2243737069
XRP,2019-12-10,0.222987021,0.2311686163,0.2314536277,0.221330926
XRP,2019-12-11,0.2224528621,0.2229860731,0.2253360564,0.2189981356
XRP,2019-12-12,0.2205816898,0.2224569267,0.2235612347,0.2197777002
XRP,2019-12-13,0.2183099182,0.2207471218,0.2227483742,0.2166422744
XRP,2019-12-14,0.2196618517,0.2181826658,0.2204350496,0.2150467964
XRP,2019-12-15,0.2165991119,0.2196745784,0.2207360855,0.2146792335
XRP,2019-12-16,0.2177384954,0.2166003047,0.2193379263,0.2146126382
XRP,2019-12-17,0.2055290087,0.217734829,0.2177585583,0.2024487038
XRP,2019-12-18,0.1813984104,0.2055204774,0.2059960946,0.1781544118
XRP,2019-12-19,0.1985077893,0.181400769,0.2002349663,0.175014927
XRP,2019-12-20,0.1884052897,0.1960610467,0.1972393389,0.184594629
XRP,2019-12-21,0.1950312878,0.1884032392,0.1954278749,0.1837734734
XRP,2019-12-22,0.1937637224,0.1947140646,0.1956884051,0.1912284288
XRP,2019-12-23,0.1937254485,0.1937638021,0.1956312759,0.1906799756
XRP,2019-12-24,0.1874651557,0.1937335,0.1964363416,0.1864566671
XRP,2019-12-25,0.1909252789,0.1874747547,0.1919061147,0.1867947508
XRP,2019-12-26,0.189033766,0.1909117889,0.1912911125,0.1862996903
XRP,2019-12-27,0.1888932645,0.1890517412,0.1939928361,0.1869741204
XRP,2019-12-28,0.1891448676,0.1889039498,0.1899183739,0.1845282844
XRP,2019-12-29,0.1929894685,0.1891462593,0.1944312139,0.1891130051
XRP,2019-12-30,0.1965713528,0.1930227805,0.1982041055,0.1906777487
XRP,2019-12-31,0.1931539855,0.1964406601,0.1975165268,0.1916532055
XRP,2020-01-01,0.1915581256,0.1931468268,0.1936452992,0.1894215833
XRP,2020-01-02,0.1923882305,0.191637444,0.1946100494,0.191637444
XRP,2020-01-03,0.1876717051,0.1923801109,0.192599798,0.1852199698
XRP,2020-01-04,0.1921958988,0.1876717051,0.1937456869,0.184221108
XRP,2020-01-05,0.1923042085,0.1921931229,0.19343101,0.1910127129
XRP,2020-01-06,0.1944950756,0.1923013221,0.1971421815,0.1920635533
XRP,2020-01-07,0.2185907205,0.1944092226,0.2237768266,0.1941127367
XRP,2020-01-08,0.2128097783,0.2186143772,0.2255507678,0.2074634009
XRP,2020-01-09,0.2076038643,0.2128207503,0.2184611405,0.2031674893
XRP,2020-01-10,0.2031290588,0.2073842541,0.208571315,0.2012400299
XRP,2020-01-11,0.2093015869,0.2030975055,0.2112980853,0.2001387163
XRP,2020-01-12,0.2137864104,0.2127415537,0.2196966758,0.2085118812
XRP,2020-01-13,0.2137442201,0.2137685511,0.2168225011,0.2095372097
XRP,2020-01-14,0.211431249,0.2137609343,0.2154797952,0.2096910672
XRP,2020-01-15,0.2345802694,0.2113764964,0.2451847507,0.2113530468
XRP,2020-01-16,0.2365745934,0.2345527755,0.243016049,0.2259077786
XRP,2020-01-17,0.2286659426,0.2335728725,0.2347786855,0.2225122169
XRP,2020-01-18,0.2406608082,0.2286656178,0.2440346943,0.2264417726
XRP,2020-01-19,0.2465858934,0.2408539435,0.2540546259,0.2317335208
XRP,2020-01-20,0.2337043063,0.246585812,0.2512970065,0.2269536908
XRP,2020-01-21,0.233648671,0.233726808,0.2362178145,0.2240982287
XRP,2020-01-22,0.2377962963,0.233662068,0.2414423213,0.2298721668
XRP,2020-01-23,0.2353524407,0.2378153685,0.2393740037,0.2322228864
XRP,2020-01-24,0.2259901504,0.2353519641,0.2367766488,0.2207179519
XRP,2020-01-25,0.2219229645,0.2252549575,0.2257859726,0.2135120079
XRP,2020-01-26,0.2200572468,0.2218962555,0.2226358944,0.2163293106
XRP,2020-01-27,0.2274360493,0.2200883164,0.2277065921,0.2178124739
XRP,2020-01-28,0.2304066143,0.2274360741,0.2334765555,0.2257929478
XRP,2020-01-29,0.2369013531,0.2304116333,0.2409672551,0.2302553669
XRP,2020-01-30,0.2368331801,0.2369016685,0.2417170984,0.2339446099
XRP,2020-01-31,0.2457157704,0.2350161502,0.2459381373,0.2303966782
XRP,2020-02-01,0.2390053686,0.245752227,0.2463136467,0.2333706724
XRP,2020-02-02,0.241344712,0.238982499,0.2427043624,0.2367031156
XRP,2020-02-03,0.2522796353,0.2411952971,0.2612437447,0.2355207306
XRP,2020-02-04,0.2516093095,0.2522735414,0.259502176,0.2467546305
XRP,2020-02-05,0.2642688554,0.2543774615,0.2701631302,0.2473444647
XRP,2020-02-06,0.2786563713,0.2642200368,0.2813508141,0.2636086367
XRP,2020-02-07,0.2806006226,0.2776893976,0.2879786323,0.2689030651
XRP,2020-02-08,0.2783149873,0.2806004425,0.2875786534,0.2773706402
XRP,2020-02-09,0.2781790427,0.2783067791,0.2820126393,0.2637602737
XRP,2020-02-10,0.2837412003,0.2776479461,0.2894060866,0.2766368857
XRP,2020-02-11,0.2727214023,0.2837301473,0.2841276091,0.2675332048
XRP,2020-02-12,0.2810141981,0.2733548585,0.2841049888,0.2671985247
XRP,2020-02-13,0.3068436181,0.2810157892,0.3095379695,0.2805423443
XRP,2020-02-14,0.3270675465,0.3068424782,0.3399218691,0.3005290758
XRP,2020-02-15,0.3363374025,0.3272556784,0.3394748728,0.3108011645
XRP,2020-02-16,0.3116566918,0.3362524888,0.347243234,0.2954320034
XRP,2020-02-17,0.29058452,0.3116250548,0.3190289695,0.2694907723
XRP,2020-02-18,0.2830919484,0.2928013037,0.2951884339,0.2694172263
XRP,2020-02-19,0.2988928314,0.2830906908,0.3033630501,0.2759573165
XRP,2020-02-20,0.2823192188,0.2989033924,0.3085525652,0.27058745
XRP,2020-02-21,0.2736952786,0.2750040901,0.281654701,0.2621222915
XRP,2020-02-22,0.272574609,0.2736913111,0.2794358173,0.268921127
XRP,2020-02-23,0.2751990908,0.2745669861,0.278685108,0.2705815804
XRP,2020-02-24,0.2819799177,0.2751998776,0.2852836061,0.274413006
XRP,2020-02-25,0.2687825212,0.2819669978,0.2848702603,0.2640141327
XRP,2020-02-26,0.2568773026,0.2687805925,0.271301818,0.2510447949
XRP,2020-02-27,0.2325759542,0.2568763062,0.2569307429,0.2226611805
XRP,2020-02-28,0.2398474797,0.2290813829,0.2477150871,0.2239433212
XRP,2020-02-29,0.2391750749,0.2383470137,0.244230843,0.2287542075
XRP,2020-03-01,0.2341380503,0.239171586,0.2426184077,0.2324233283
XRP,2020-03-02,0.2279476558,0.2341352047,0.2362078323,0.2241799958
XRP,2020-03-03,0.2387816219,0.2279979166,0.2418757974,0.225729121
XRP,2020-03-04,0.2345844138,0.239739045,0.239797673,0.2296651431
XRP,2020-03-05,0.2346710267,0.2345715128,0.2384112622,0.2304230052
XRP,2020-03-06,0.2386892701,0.2347726647,0.2435500418,0.2339481296
XRP,2020-03-07,0.2433257273,0.2396060948,0.2467958218,0.2385725705
XRP,2020-03-08,0.2381552923,0.2433224424,0.24564,0.2355735497
XRP,2020-03-09,0.2064235668,0.2381874507,0.2382034458,0.200651683
XRP,2020-03-10,0.2072597467,0.206422953,0.2118495407,0.1979681224
XRP,2020-03-11,0.2135475379,0.209702615,0.2158695002,0.2052792125
XRP,2020-03-12,0.2082691198,0.213550882,0.2137356319,0.1992396186
XRP,2020-03-13,0.1559891483,0.2082711449,0.2097648453,0.146248259
XRP,2020-03-14,0.1605058484,0.1559731071,0.1680918983,0.1098440391
XRP,2020-03-15,0.1482558914,0.1604780738,0.1649564161,0.1474817973
XRP,2020-03-16,0.1529208708,0.148231198,0.1646263038,0.1436969536
XRP,2020-03-17,0.1386133898,0.1528823588,0.1547038133,0.12850544
XRP,2020-03-18,0.149832404,0.1385913616,0.1529124227,0.1381431724
XRP,2020-03-19,0.1467819451,0.149814107,0.1505128278,0.1408610091
XRP,2020-03-20,0.1695404732,0.146771008,0.173231241,0.1448892105
XRP,2020-03-21,0.1552885871,0.1695370663,0.1758546042,0.1453380237
XRP,2020-03-22,0.1581283141,0.1553020218,0.1624051165,0.1522010402
XRP,2020-03-23,0.1493959821,0.1581050631,0.1624112677,0.148600488
XRP,2020-03-24,0.158496092,0.1478573501,0.1618872558,0.1450224611
XRP,2020-03-25,0.1632148504,0.1584924952,0.1647304641,0.1577245032
XRP,2020-03-26,0.1619099006,0.1632167203,0.1657073824,0.1576278809
XRP,2020-03-27,0.1720318377,0.1621399884,0.1746127899,0.1603334895
XRP,2020-03-28,0.1840376084,0.1720027158,0.1876153278,0.1699915656
XRP,2020-03-29,0.1759319932,0.1840499494,0.184064772,0.1670107739
XRP,2020-03-30,0.1636654902,0.175922423,0.1770590116,0.1619776868
XRP,2020-03-31,0.1732788142,0.1627224757,0.1757743344,0.1624418813
XRP,2020-04-01,0.1756528365,0.1732531747,0.1783395733,0.1707815994
XRP,2020-04-02,0.1744244164,0.1756853536,0.1758929421,0.1684299681
XRP,2020-04-03,0.1795877617,0.1744257662,0.1867424966,0.1742922323
XRP,2020-04-04,0.1799066226,0.1783999573,0.1831372901,0.176165022
XRP,2020-04-05,0.1809941319,0.1798493142,0.1840746769,0.1779524997
XRP,2020-04-06,0.1793540335,0.1816160719,0.1824621738,0.1766625308
XRP,2020-04-07,0.1953206191,0.1793540976,0.1966874771,0.1790225078
XRP,2020-04-08,0.1935829108,0.1952924496,0.2053718732,0.190047835
XRP,2020-04-09,0.2019588493,0.1935811074,0.2030555861,0.191686975
XRP,2020-04-10,0.1993311813,0.201946316,0.2027009487,0.1944660104
XRP,2020-04-11,0.1883341068,0.1993308533,0.1996029099,0.181785719
XRP,2020-04-12,0.1877642318,0.1879361813,0.1925456048,0.1853449918
XRP,2020-04-13,0.1918819021,0.1877640621,0.1962846417,0.1866315282
XRP,2020-04-14,0.1890478373,0.1918819185,0.1926876356,0.1804438926
XRP,2020-04-15,0.1863423441,0.1890478711,0.1895767682,0.1839571512
XRP,2020-04-16,0.1838242603,0.1863419131,0.1901537014,0.1822398164
XRP,2020-04-17,0.1925363845,0.1806137864,0.192978801,0.1742076739
XRP,2020-04-18,0.189927755,0.1925843393,0.1933485087,0.1865422668
XRP,2020-04-19,0.1960349256,0.1899259934,0.1973147104,0.1886980886
XRP,2020-04-20,0.1920340161,0.1960349424,0.1967949784,0.1881983474
XRP,2020-04-21,0.1832010635,0.1920092748,0.194789366,0.1784029965
XRP,2020-04-22,0.1853410706,0.1832010145,0.1867466067,0.1812347788
XRP,2020-04-23,0.1882163378,0.1853250921,0.1899835397,0.1823197978
XRP,2020-04-24,0.1946957174,0.1882164147,0.1994504234,0.1857032918
XRP,2020-04-25,0.1930084275,0.1927451602,0.1971369043,0.1922784206
